YEAR,APID,SEMESTER,DIV_ID,DIV_NO,DIV_NM,SCH_ID,SCH_NO,SCH_NM,SCH_TI,SCH_TAI,CL_ID,CL_GRADE,TCH_ID,TCH_LASTNM,TCH_FIRSTNM,STD_PID,STD_STI,STD_LASTNM,STD_MIDDLENM,STD_FIRSTNM,STD_GEN,STD_HISP,STD_RACE,STD_NS,STD_DIS,STD_BDAY,STD_PREK,STD_ESL,STD_TI,STD_TUTOR,STD_N,STD_O,STD_ONM,STD_AGE,FORMID,SCOREOPT,SCORESID,ASSESSDATE,ASSESSTYPE,NAMEWRI,ALPHA_UC,ALPHA_LC,LETTERSND,BEGSOUND,PRNTWORD,RHYME,NURRHYME,ID
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873652,7598273932,StudentLast12,StudentMiddle12,StudentFirst12,f,1,5,0,1,4/1/2018,,0,0,0,1,0,,52,a,0,5043912,8/15/2022,3,7,14,5,3,6,10,3,3,50852312
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873653,7598273933,StudentLast13,StudentMiddle13,StudentFirst13,m,0,5,0,1,8/1/2018,,0,0,0,1,0,,48,a,0,5043913,8/15/2022,3,2,0,0,0,0,2,3,3,50852313
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873654,7598273934,StudentLast14,StudentMiddle14,StudentFirst14,f,0,5,0,1,12/21/2017,,0,0,0,1,0,,56,a,0,5043914,8/15/2022,3,4,0,0,1,6,9,3,4,50852314
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873655,7598273935,StudentLast15,StudentMiddle15,StudentFirst15,m,0,5,0,1,8/13/2017,,0,0,0,1,0,,60,a,0,5043915,8/15/2022,3,7,25,22,19,10,10,4,9,50852315
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873656,7598273936,StudentLast16,StudentMiddle16,StudentFirst16,m,0,5,0,1,1/26/2018,,0,0,0,1,0,,55,a,0,5043916,8/15/2022,3,2,1,1,0,0,5,6,4,50852316
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873657,7598273937,StudentLast17,StudentMiddle17,StudentFirst17,m,0,5,0,1,4/2/2018,,0,0,0,1,0,,52,a,0,5043917,8/15/2022,3,1,3,2,0,1,9,5,3,50852317
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873658,7598273938,StudentLast18,StudentMiddle18,StudentFirst18,f,0,5,0,1,6/28/2018,,0,0,0,1,0,,50,a,0,5043918,8/15/2022,3,0,0,0,0,2,3,5,5,50852318
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873659,7598273939,StudentLast19,StudentMiddle19,StudentFirst19,m,0,5,0,1,5/21/2018,,0,0,0,1,0,,51,a,0,5043919,8/15/2022,3,2,0,0,0,0,6,5,4,50852319
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,111111,TeacherLastName01,TeacherFirstName01,4873660,7598273940,StudentLast20,StudentMiddle20,StudentFirst20,f,0,5,0,1,2/9/2018,,0,0,0,1,0,,54,a,0,5043920,8/15/2022,3,4,4,4,0,2,4,4,6,50852320
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873661,7598273941,StudentLast21,StudentMiddle21,StudentFirst21,m,0,5,0,1,11/15/2017,,0,0,0,1,0,,58,a,0,5043921,9/5/2022,3,3,3,3,4,9,6,6,3,50852321
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873662,7598273942,StudentLast22,StudentMiddle22,StudentFirst22,f,0,5,0,1,5/25/2018,,0,0,0,1,0,,52,a,0,5043922,9/5/2022,3,0,0,0,0,2,4,4,2,50852322
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873663,7598273943,StudentLast23,StudentMiddle23,StudentFirst23,f,0,5,0,1,2/20/2018,,0,0,0,1,0,,55,a,0,5043923,9/5/2022,3,6,4,3,3,8,8,9,7,50852323
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873664,7598273944,StudentLast24,StudentMiddle24,StudentFirst24,f,0,5,0,1,11/27/2017,,0,0,0,1,0,,58,a,0,5043924,9/5/2022,3,3,0,1,0,5,0,2,6,50852324
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873665,7598273945,StudentLast25,StudentMiddle25,StudentFirst25,m,0,3,0,1,9/25/2017,,0,0,0,1,0,,60,a,0,5043925,9/5/2022,3,0,3,0,0,5,2,6,0,50852325
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873666,7598273946,StudentLast26,StudentMiddle26,StudentFirst26,m,0,5,0,1,11/5/2017,,0,0,0,1,0,,58,a,0,5043926,9/5/2022,3,3,0,0,0,5,4,5,3,50852326
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873667,7598273947,StudentLast27,StudentMiddle27,StudentFirst27,f,0,5,0,1,9/27/2017,,0,0,0,1,0,,60,a,0,5043927,9/5/2022,3,3,5,4,2,9,8,10,7,50852327
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873668,7598273948,StudentLast28,StudentMiddle28,StudentFirst28,f,0,5,0,1,3/27/2018,,0,0,0,1,0,,54,a,0,5043928,9/5/2022,3,4,18,8,3,9,9,10,5,50852328
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873669,7598273949,StudentLast29,StudentMiddle29,StudentFirst29,f,0,5,0,1,11/10/2017,,0,0,0,1,0,,58,a,0,5043929,9/5/2022,3,3,2,1,1,8,3,2,4,50852329
2022-2023,358,f,1892,821,"Sample District, SC",777,821777,Sample Elementary School Name,0,0,968736,p,222222,TeacherLastName02,TeacherFirstName02,4873670,7598273950,StudentLast30,StudentMiddle30,StudentFirst30,m,0,5,0,1,9/26/2017,,0,0,0,1,0,,60,a,0,5043930,9/5/2022,3,0,0,1,1,5,2,6,2,50852330
