identificationCode,scoreType,resultDatatypeTypeDescriptor
NonsenseWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
NonsenseWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
NonsenseWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
OnsetSounds,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OnsetSounds,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OnsetSounds,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OnsetSounds,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
OralRepetition,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepetition,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepetition,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
OralRepetition,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
OralRepetition,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepetition,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepetition,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
OralRepetition,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
SentenceReading,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SentenceReading,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SentenceReading,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SentenceReading,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
SightWords,Total Words Read,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,Words Read Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,WRC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
SightWords,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
SightWords,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
SightWords,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
WordBlending,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordBlending,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordBlending,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordBlending,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
WordRhyming,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordRhyming,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordRhyming,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordRhyming,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
WordSegmenting,Total Items,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,Items Correct,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,IC per minute,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Decimal
WordSegmenting,Error Count,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Integer
WordSegmenting,School Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,LEA Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,National Percentile,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Percentile
WordSegmenting,Risk Level,uri://ed-fi.org/ResultDatatypeTypeDescriptor#Level
