Assessment,Assessment Language,State,District,School,Local ID,State ID,FAST ID,First Name,Last Name,Gender,DOB,Race,Special Ed. Status,Grade,Unnamed: 15,Fall aReading Test Theta,Fall aReading Percentile at School,Fall aReading Percentile at LEA,Fall aReading Percentile at Nation,Fall aReading Risk Level,Fall aReading Final Date,Winter aReading Test Theta,Winter aReading Percentile at School,Winter aReading Percentile at LEA,Winter aReading Percentile at Nation,Winter aReading Risk Level,Winter aReading Final Date,Growth Score from Fall to Winter,School Growth Percentile from Fall to Winter,District Growth Percentile from Fall to Winter,National Growth Percentile from Fall to Winter,Growth Percentile by Start Score from Fall to Winter,Spring aReading Test Theta,Spring aReading Percentile at School,Spring aReading Percentile at LEA,Spring aReading Percentile at Nation,Spring aReading Risk Level,Spring aReading Final Date,Growth Score from Fall to Spring,School Growth Percentile from Fall to Spring,District Growth Percentile from Fall to Spring,National Growth Percentile from Fall to Spring,Growth Percentile by Start Score from Fall to Spring,Growth Score from Winter to Spring,School Growth Percentile from Winter to Spring,District Growth Percentile from Winter to Spring,National Growth Percentile from Winter to Spring,Growth Percentile by Start Score from Winter to Spring,Screening Period 4 aReading Test Theta,Screening Period 4 aReading Percentile at School,Screening Period 4 aReading Percentile at LEA,Screening Period 4 aReading Percentile at Nation,Screening Period 4 aReading Risk Level,Screening Period 4 aReading Final Date,Growth Score from Fall to Screening Period 4,School Growth Percentile from Fall to Screening Period 4,District Growth Percentile from Fall to Screening Period 4,National Growth Percentile from Fall to Screening Period 4,Growth Percentile by Start Score from Fall to Screening Period 4,Growth Score from Winter to Screening Period 4,School Growth Percentile from Winter to Screening Period 4,District Growth Percentile from Winter to Screening Period 4,National Growth Percentile from Winter to Screening Period 4,Growth Percentile by Start Score from Winter to Screening Period 4,Growth Score from Spring to Screening Period 4,School Growth Percentile from Spring to Screening Period 4,District Growth Percentile from Spring to Screening Period 4,National Growth Percentile from Spring to Screening Period 4,Growth Percentile by Start Score from Spring to Screening Period 4,Screening Period 5 aReading Test Theta,Screening Period 5 aReading Percentile at School,Screening Period 5 aReading Percentile at LEA,Screening Period 5 aReading Percentile at Nation,Screening Period 5 aReading Risk Level,Screening Period 5 aReading Final Date,Growth Score from Fall to Screening Period 5,School Growth Percentile from Fall to Screening Period 5,District Growth Percentile from Fall to Screening Period 5,National Growth Percentile from Fall to Screening Period 5,Growth Percentile by Start Score from Fall to Screening Period 5,Growth Score from Winter to Screening Period 5,School Growth Percentile from Winter to Screening Period 5,District Growth Percentile from Winter to Screening Period 5,National Growth Percentile from Winter to Screening Period 5,Growth Percentile by Start Score from Winter to Screening Period 5,Growth Score from Spring to Screening Period 5,School Growth Percentile from Spring to Screening Period 5,District Growth Percentile from Spring to Screening Period 5,National Growth Percentile from Spring to Screening Period 5,Growth Percentile by Start Score from Spring to Screening Period 5,Growth Score from Screening Period 4 to Screening Period 5,School Growth Percentile from Screening Period 4 to Screening Period 5,District Growth Percentile from Screening Period 4 to Screening Period 5,National Growth Percentile from Screening Period 4 to Screening Period 5,Growth Percentile by Start Score from Screening Period 4 to Screening Period 5,Fall Lexile,Winter Lexile,Spring Lexile,Screening Period 4 Lexile,Screening Period 5 Lexile
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,42155,51704,896437,STEPHANIE,CLINE,Female,2016-05-04,White,,Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,87811,53338,993432,CHRISTOPHER,LIVINGSTON,Female,2019-02-16,White,,Twelve,,579.9609,N/A*,N/A*,91.0,LI,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,91991,48573,469256,KIMBERLY,TAYLOR,Male,2017-03-11,Black or African American,,Ten,,462.8822,N/A*,N/A*,1.0,highRisk,9/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR25L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,75462,28941,422568,KIMBERLY,HEBERT,Male,2019-09-12,Black or African American,,Twelve,,532.83844,N/A*,N/A*,17.0,someRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1070L,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,52725,21248,271498,CHRISTOPHER,GREEN,Female,2018-06-18,Hispanic/Latino,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,85125,88173,512402,GEOFFREY,MILLER,Male,2018-09-07,Hispanic/Latino,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,54880,68027,336001,NATHAN,BAUTISTA,Male,2019-07-22,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,24925,16808,987680,NICOLE,JONES,Female,2017-08-10,Black or African American,,Eleven,,526.3791,28.658537,28.658537,14.0,highRisk,9/16/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,51105,96236,994244,RICKY,KELLER,Male,2018-01-03,Multi-Racial,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,67188,58244,647627,AMBER,MORTON,Female,2017-12-04,Black or African American,,Nine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,PERSHING ELEMENTARY,94935,75264,406995,DANIEL,ROGERS,Male,2018-06-26,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,41789,63015,916745,ANTHONY,ROSS,Female,2017-02-13,Asian,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,86868,15706,396755,TOMMY,MOORE,Female,2016-09-22,Black or African American,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,92127,56954,856087,KAYLA,SULLIVAN,Female,2017-07-02,Black or African American,,Three,,472.53198,34.69388,38.636364,19.0,someRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,64908,53499,184174,MEGHAN,PATTON,Female,2017-05-22,Black or African American,,Ten,,564.62494,N/A*,N/A*,83.0,LI,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1570L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,42300,13216,658955,BILLY,CLARK,Male,2016-06-12,Black or African American,,Ten,,551.67004,N/A*,N/A*,58.0,lowRisk,8/26/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1365L,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,54512,50715,417716,SARAH,GOMEZ,Male,2017-07-06,Black or African American,,Two,,413.12054,15.5172415,14.096916,3.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR515L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,83329,38282,694170,KEVIN,WALLACE,Male,2016-06-26,White,,Five,,494.48602,26.666666,26.008968,13.0,highRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460L,,,,
aReading,Assessment Language,MO,University City School District,PERSHING ELEMENTARY,93453,66798,502211,ROBERT,WILLIAMS,Male,2018-01-05,Multi-Racial,,Four,,509.69772,81.818184,66.49746,55.0,lowRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710L,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,55277,97240,663491,JULIA,THOMPSON,Male,2018-03-01,Multi-Racial,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,26871,65390,589463,BRITTANY,LEE,Male,2017-07-09,Black or African American,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,73284,53900,143356,MARILYN,CARTER,Male,2017-05-01,Black or African American,,Eleven,,512.3517,15.243902,15.243902,6.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740L,,,,
aReading,Assessment Language,MO,University City School District,BRITTANY WOODS MIDDLE SCHOOL,84653,33809,884410,TAYLOR,WARD,Male,2016-11-20,Black or African American,,Seven,,529.54517,65.26946,65.26946,44.0,lowRisk,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020L,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,17023,74611,855120,RANDY,HANCOCK,Male,2016-09-10,Hispanic/Latino,,Two,,368.7175,3.4482758,1.7621145,1.0,highRisk,8/29/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR905L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,62121,64552,560031,MICHAEL,NORRIS,Female,2017-08-26,Black or African American,,Two,,442.0396,41.07143,35.24229,12.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR260L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,86026,83438,847544,JACK,GARCIA,Female,2019-08-13,Black or African American,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,70889,18941,727821,KATHLEEN,HOWE,Female,2019-02-13,Black or African American,,Nine,,552.7743,N/A*,N/A*,68.0,lowRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380L,,,,
aReading,Assessment Language,MO,University City School District,BRITTANY WOODS MIDDLE SCHOOL,98079,52403,388315,LAURA,WALSH,Male,2016-04-23,Black or African American,,Seven,,481.60886,11.377246,11.377246,3.0,highRisk,8/25/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,83578,40646,265083,STEVEN,HALL,Female,2016-01-01,Black or African American,,Eleven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,39854,45100,867757,STEPHEN,LAWSON,Female,2019-07-05,Black or African American,,Four,,472.90976,21.311476,23.350254,8.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,51730,87569,245998,DIANA,HAYS,Female,2016-06-12,Black or African American,,Twelve,,513.07227,N/A*,N/A*,5.0,highRisk,8/26/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,25843,55844,844722,DAVID,DAVIS,Male,2017-02-28,Black or African American,,Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,64796,70434,936361,STEPHEN,ADKINS,Male,2016-02-09,Black or African American,,Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,39589,76503,172557,SUZANNE,FRIEDMAN,Male,2018-01-09,Black or African American,,Ten,,510.9487,N/A*,N/A*,7.0,highRisk,8/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725L,,,,
aReading,Assessment Language,MO,University City School District,Jackson Park Elementary,79740,67152,111823,MICHELLE,BREWER,Male,2018-05-17,Black or African American,,Two,,420.10156,14.285714,15.418502,3.0,highRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR455L,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,71665,44484,958048,SCOTT,MONROE,Female,2019-07-25,Hispanic/Latino,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,63476,92942,170214,JACOB,FOSTER,Female,2016-07-04,Black or African American,,Twelve,,536.8352,N/A*,N/A*,21.0,someRisk,8/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130L,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,63561,90778,672109,TONYA,MARTINEZ,Male,2016-08-26,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,54677,71140,421945,AUDREY,MOORE,Female,2016-04-25,Hispanic/Latino,,Kindergarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,22123,36285,620125,JESSICA,DILLON,Male,2017-02-15,Black or African American,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,54193,57344,671498,MARGARET,CHAPMAN,Female,2016-02-10,White,,Ten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,FLYNN PARK ELEMENTARY,59422,88927,658306,KEVIN,OWENS,Male,2017-11-26,Black or African American,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,UNIVERSITY CITY HIGH SCHOOL,22468,67272,725218,GINA,THOMAS,Male,2017-08-28,Black or African American,,Twelve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,77803,80391,619090,ANN,GAINES,Female,2019-06-27,Hispanic/Latino,,One,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aReading,Assessment Language,MO,University City School District,Barbara Jordan Elementary,90660,51560,133039,CHRISTOPHER,PARKS,Female,2018-10-15,Hispanic/Latino,,Three,,438.82745,15,15.909091,4.0,highRisk,9/5/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR290L,,,,
