codeValue,description,namespace,shortDescription
Gifted,Gifted and Talented,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Gifted
GR9,Ninth Grade Code,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,GR9
Hispanic,Latino or Hispanic Indicator,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Hispanic
Homeless,Homeless Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Homeless
HomeSch,Home School Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,HomeSch
IEP_AU,Autism,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_AU
IEP_DB,Deaf-Blindness,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_DB
IEP_DD,Developmental Delay,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_DD
IEP_EH,Emotionally Handicapped,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_EH
IEP_EM,Educable Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_EM
IEP_HH,Hearing Handicapped,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_HH
IEP_LD,Learning Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_LD
IEP_MD,Multiple Disabilities,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_MD
IEP_OH,Orthopedically Impaired,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_OH
IEP_OHI,Other Health Impaired,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_OHI
IEP_PMD,Profoundly Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_PMD
IEP_SP,Speech/Language,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_SP
IEP_TBI,Traumatic Brain Injury,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_TBI
IEP_TM,Trainable Mentally Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_TM
IEP_VH,Blind and Visually Disabled,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP_VH
IEP,IEP Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,IEP
InstrSetting,Instructional Setting,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,InstrSetting
LastItem,Last Item Number Attempted,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LastItem
Level,Score Level,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Level
Lex,Lexile Score for Reading,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Lex
LexLow,Lexile Range Lower Value,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LexLow
LexNPR,Lexile Norm Percentile Rank,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LexNPR
LexUp,Lexile Range Upper Value,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LexUp
LName,Student Last Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,LName
Makeup,Make-up Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Makeup
MakeupW,Make-up Flag W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,MakeupW
Migrant,Migrant Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Migrant
MName,Student Middle Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,MName
Mode,Mode,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Mode
ObjectiveName,Objective Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,ObjectiveName
OutOfState,Out of State Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,OutOfState
Performance Level,Performance Level,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Performance Level
Plan504,504 Status,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Plan504
Precoded,Precoded Record Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Precoded
PSchool,Private School Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,PSchool
Quant,Quantile Score for Mathematics,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,Quant
QuantLow,Quantile Range Lower Value,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,QuantLow
QuantNPR,Quantile Norm Percentile Rank,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,QuantNPR
QuantUp,Quantile Range Upper Value,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,QuantUp
RaceA,Asian,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceA
RaceB,Black or African American,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceB
RaceI,American Indian or Alaska Native,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceI
RaceP,Native Hawaiian or Other Pacific Islander,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceP
RaceW,White,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RaceW
RSchoolID,Residential Treatment Facility Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,RSchoolID
SAMPM,Start Time AM/PM,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,SAMPM
SAMPMW,Start Time AM/PM W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,SAMPMW
School,School Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,School
SS,Scale Score,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,SS
STime,Start Time,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,STime
STimeW,Start Time W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,STimeW
TDANoScore,TDA (if Scored and Reasons for No Score) – For English 1 and 2 test only,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TDANoScore
TDAScore,TDA Score - For English 2 test only,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TDAScore
TeachFI,Teacher of Record First Initial,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TeachFI
TeachLName,Teacher of Record Last Name,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TeachLName
TeachMI,Teacher of Record Middle Initial,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TeachMI
TestAdmin,Test Administration Period,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TestAdmin
TestDateW,Test Administration Date W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TestDateW
TestDuration,Test Duration,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TestDuration
TestDurationW,Test Duration W,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TestDurationW
TrueGrade,True Grade,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TrueGrade
TSchoolID,Tested School ID,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,TSchoolID
VSchool,Virtual School Flag,uri://datarecognitioncorp.com/AssessmentReportingMethodDescriptor,VSchool
